x y
0.0000	0.0000
3.2482	0.5000
6.4208	1.0000
9.4470	1.5000
12.2653	2.0000
14.8256	2.5000
17.0901	3.0000
19.0319	3.5000
20.6338	4.0000
21.8855	4.5000
22.7817	5.0000
23.3199	5.5000
23.4994	6.0000
23.3199	6.5000
22.7816	7.0000
21.8854	7.5000
20.6337	8.0000
19.0318	8.5000
17.0900	9.0000
14.8255	9.5000
12.2651	10.0000
9.4468	10.5000
6.4206	11.0000
3.2480	11.5000
-0.0002	12.0000
-3.2484	12.5000
-6.4209	13.0000
-9.4471	13.5000
-12.2654 14.0000
-14.8258 14.5000
-17.0902 15.0000
-19.0320 15.5000
-20.6339 16.0000
-21.8856 16.5000
-22.7817 17.0000
-23.3199 17.5000
-23.4994 18.0000
-23.3199 18.5000
-22.7816 19.0000
-21.8854 19.5000
-20.6336 20.0000
-19.0317 20.5000
-17.0898 21.0000
-14.8254 21.5001
-12.2650 22.0001
-9.4466	22.5001
-6.4204	23.0001
-3.2479	23.5001
0.0004	24.0001
