x	y
0	3.25623
3	4.58942
6	5.87562
9	7.10429
12	8.26548
15	9.34995
18	10.3492
21	11.2557
24	12.0628
27	12.7648
30	13.3571
33	13.8363
36	14.2
39	14.447
42	14.5771
45	14.5916
48	14.4926
51	14.2833
54	13.9683
57	13.5528
60	13.0431
63	12.4465
66	11.7709
69	11.0249
72	10.2179
75	9.3596
78	8.46015
81	7.53
84	6.57978
87	5.62014
90	4.6617
93	3.71488
96	2.78983
99	1.89629
102	1.0435
105	0.240124
108	-0.505883
111	-1.18733
114	-1.79787
117	-2.33207
120	-2.78546
123	-3.15459
126	-3.43704
129	-3.63146
132	-3.73758
135	-3.7562
138	-3.68918
141	-3.53942
144	-3.3108
147	-3.00817
150	-2.63726
153	-2.20464
156	-1.7176
159	-1.18412
162	-0.612731
165	-0.0124468
168	0.607356
171	1.23704
174	1.86682
177	2.48687
180	3.08745
183	3.659
186	4.19226
189	4.67838
192	5.10901
195	5.47643
198	5.77358
201	5.99422
204	6.13294
207	6.18525
210	6.14766
213	6.01767
216	5.79387
219	5.4759
222	5.0645
225	4.56152
228	3.96986
231	3.29347
234	2.53734
237	1.7074
240	0.810529
243	-0.14559
246	-1.15248
249	-2.20101
252	-3.28143
255	-4.38352
258	-5.49667
261	-6.61002
264	-7.71253
267	-8.79311
270	-9.84077
273	-10.8447
276	-11.7943
279	-12.6796
282	-13.491
285	-14.2195
288	-14.8568
291	-15.3957
294	-15.8294
297	-16.1526
300	-16.3605
303	-16.4498
306	-16.4181
309	-16.2642
312	-15.9881
315	-15.5909
318	-15.0748
321	-14.4432
324	-13.7008
327	-12.8531
330	-11.9067
333	-10.8692
336	-9.74902
339	-8.55538
342	-7.29823
345	-5.98808
348	-4.63599
351	-3.25337
354	-1.85192
357	-0.443492
360	0.960012
363	2.34678
